     0.000     0.182    13.167     12868267.500     0.000     0.000  2750.000      00********
     0.000    -0.772    39.085     38604802.500     0.000     0.000  2750.000      00********
     0.000    -1.249    51.784     51473070.000     0.000     0.000  2750.000      00********
     0.000    -1.933    69.738     69925680.000     0.000     0.000  2750.000      00********
     0.000    -2.203    76.726     77209605.000     0.000     0.000  2750.000      00********
     0.000    -2.680    88.955     90077872.500     0.000     0.000  2750.000      00********
     0.000    -3.157   101.027    102946140.000     0.000     0.000  2750.000      00********
     0.000    -3.634   112.941    115814407.500     0.000     0.000  2750.000      00********
     0.000    -4.588   136.347    141550942.500     0.000     0.000  2750.000      00********
     0.000    -5.065   147.787    154419210.000     0.000     0.000  2750.000      00********
     0.000    -5.542   159.070    167287477.500     0.000     0.000  2750.000      00********
     0.000    -6.019   170.194    180155745.000     0.000     0.000  2750.000      00********
     0.000    -7.054   193.852    208077457.500     0.000     0.000  2750.000      00********
     0.000    -7.927   213.228    231628815.000     0.000     0.000  2750.000      00********
     0.000    -8.881   233.791    257365350.000     0.000     0.000  2750.000      00********
     0.000    -9.834   253.704    283074907.500     0.000     0.000  2750.000      00********
     0.000   -10.856   274.372    310645912.500     0.000     0.000  2750.000      00********
     0.000   -11.742   294.311    335417143.500     0.000     0.000  2850.000      00********
     0.000   -12.696   315.577    362089552.500     0.000     0.000  2850.000      00********
     0.000   -13.650   336.626    388761961.500     0.000     0.000  2850.000      00********
     0.000   -15.558   378.139    442106779.500     0.000     0.000  2850.000      00********
     0.000   -17.466   418.781    495451597.500     0.000     0.000  2850.000      00********
     0.000   -19.374   458.558    548796415.500     0.000     0.000  2850.000      00********
     0.000   -21.000   491.759    594256936.500     0.000     0.000  2850.000      00********
     0.000   -23.190   537.974    657634441.500     0.000     0.000  2950.000      00********
     0.000   -25.911   594.755    736378821.000     0.000     0.000  2950.000      00********
     0.000   -27.006   617.400    768067573.500     0.000     0.000  2950.000      00********
     0.000   -28.913   656.526    823255200.000     0.000     0.000  2950.000      00********
     0.000   -30.821   695.312    878471766.000     0.000     0.000  2950.000      00********
     0.000   -32.006   719.201    912765073.500     0.000     0.000  2950.000      00********
     0.000  -295.066  1470.148   9624366960.597     8.510     4.601  3493.867      99   79368
     0.000  -299.835  1472.413   9787950176.578     8.520     4.606  3499.154      99   80568
     0.000  -304.605  1474.679   9951835569.667     8.532     4.611  3505.143      99   82069
     0.000  -314.145  1479.212  10280604762.457     8.525     4.630  3520.791      99   84770
     0.000  -323.684  1483.744  10610556055.638     8.552     4.638  3530.860      99   87471
     0.000  -333.224  1488.276  10941505391.633     8.581     4.646  3541.463      99   90473
     0.000  -342.763  1492.808  11273402480.008     8.606     4.655  3552.043      99   93174
     0.000  -352.303  1497.340  11606328669.364     8.634     4.663  3562.643      99   95875
     0.000  -361.842  1501.872  11940104696.019     8.657     4.672  3570.809      99   98577
     0.000  -371.382  1506.404  12274688512.386     8.686     4.685  3579.134      99  101578
     0.000  -380.921  1510.936  12609998221.876     8.707     4.695  3587.278      99  104279
     0.000  -390.461  1515.468  12946109899.291     8.731     4.705  3595.436      99  106981
     0.000  -400.000  1520.000  13282967234.419     8.759     4.719  3603.863      99  109982
     5.000     0.179    13.207     12868267.500     0.000     0.000  2750.000      00  109982
     5.000    -0.775    39.139     38604802.500     0.000     0.000  2750.000      00  109982
     5.000    -1.252    51.865     51473070.000     0.000     0.000  2750.000      00  109982
     5.000    -1.879    68.346     68387962.500     0.000     0.000  2750.000      00  109982
     5.000    -2.206    76.836     77209605.000     0.000     0.000  2750.000      00  109982
     5.000    -2.683    89.084     90077872.500     0.000     0.000  2750.000      00  109982
     5.000    -3.160   101.173    102946140.000     0.000     0.000  2750.000      00  109982
     5.000    -3.637   113.104    115814407.500     0.000     0.000  2750.000      00  109982
     5.000    -4.591   136.489    141550942.500     0.000     0.000  2750.000      00  109982
     5.000    -5.068   147.945    154419210.000     0.000     0.000  2750.000      00  109982
     5.000    -5.545   159.242    167287477.500     0.000     0.000  2750.000      00  109982
     5.000    -6.022   170.382    180155745.000     0.000     0.000  2750.000      00  109982
     5.000    -6.976   192.179    205892280.000     0.000     0.000  2750.000      00  109982
     5.000    -7.929   213.332    231601837.500     0.000     0.000  2750.000      00  109982
     5.000    -8.883   233.875    257338372.500     0.000     0.000  2750.000      00  109982
     5.000    -9.837   253.788    283074907.500     0.000     0.000  2750.000      00  109982
     5.000   -10.874   274.717    311050575.000     0.000     0.000  2750.000      00  109982
     5.000   -11.745   294.352    335402428.500     0.000     0.000  2850.000      00  109982
     5.000   -12.699   315.648    362074837.500     0.000     0.000  2850.000      00  109982
     5.000   -13.653   336.723    388747246.500     0.000     0.000  2850.000      00  109982
     5.000   -15.561   378.218    442092064.500     0.000     0.000  2850.000      00  109982
     5.000   -17.469   418.841    495436882.500     0.000     0.000  2850.000      00  109982
     5.000   -19.377   458.592    548781700.500     0.000     0.000  2850.000      00  109982
     5.000   -21.000   491.719    594158346.000     0.000     0.000  2850.000      00  109982
     5.000   -23.193   538.026    657622669.500     0.000     0.000  2950.000      00  109982
     5.000   -25.100   577.876    712810296.000     0.000     0.000  2950.000      00  109982
     5.000   -27.008   617.411    768026862.000     0.000     0.000  2950.000      00  109982
     5.000   -28.916   656.579    823243428.000     0.000     0.000  2950.000      00  109982
     5.000   -30.824   695.383    878459994.000     0.000     0.000  2950.000      00  109982
     5.000   -32.001   719.138    912521785.500     0.000     0.000  2950.000      00  109982
     5.000   -34.640   744.312    997966171.357     7.946     4.536  3299.976      96    8545
     5.000   -37.502   771.235   1090606014.360     7.941     4.528  3298.904      96    9150
     5.000   -40.364   797.968   1183230585.697     7.939     4.521  3298.526      96   10055
     5.000   -43.225   824.450   1275819533.702     7.949     4.518  3298.970      96   10961
     5.000   -46.087   850.513   1368552385.661     7.956     4.517  3306.771      96   11566
     5.000   -48.949   876.208   1461409631.492     7.965     4.515  3307.345      96   12471
     5.000   -51.811   901.589   1554272222.628     7.957     4.506  3307.466      96   13075
     5.000   -54.673   926.652   1647139308.868     7.963     4.502  3307.689      96   13980
     5.000   -57.535   951.386   1740006897.398     7.955     4.493  3307.469      96   14585
     5.000   -60.396   975.855   1832841385.589     7.958     4.488  3307.594      96   15490
     5.000   -63.258  1000.063   1925730492.519     7.964     4.485  3308.961      96   16094
     5.000   -66.120  1024.034   2018655728.793     7.965     4.478  3309.715      96   16999
     5.000   -70.890  1063.490   2173546327.337     7.958     4.465  3310.003      96   18207
     5.000   -75.659  1102.183   2328442994.909     7.963     4.458  3311.084      96   19714
     5.000   -80.429  1140.059   2483379169.848     7.953     4.444  3310.989      96   20921
     5.000   -85.199  1176.905   2638354964.864     7.949     4.428  3312.428      96   22129
     5.000   -89.969  1212.363   2793382744.963     7.952     4.422  3313.144      96   23335
     5.000   -94.738  1246.026   2948434064.188     7.948     4.408  3314.613      96   24842
     5.000   -99.508  1277.562   3103564978.564     7.941     4.396  3315.759      96   26048
     5.000  -106.545  1320.000   3332543752.769     7.940     4.381  3317.913      96   27856
     5.000  -109.047  1325.004   3413962480.012     7.987     4.404  3318.117      99   27425
     5.000  -113.817  1334.544   3569343265.169     8.003     4.408  3322.627      99   28928
     5.000  -118.587  1344.084   3724915159.743     8.011     4.409  3326.605      99   30131
     5.000  -123.357  1353.624   3880675030.831     8.024     4.411  3330.512      99   31334
     5.000  -128.126  1363.162   4036596189.238     8.043     4.418  3334.751      99   32836
     5.000  -132.896  1372.702   4192731980.321     8.048     4.415  3338.586      99   34039
     5.000  -137.666  1382.242   4349045952.610     8.060     4.418  3342.267      99   35242
     5.000  -142.435  1391.780   4505512527.575     8.076     4.422  3346.355      99   36745
     5.000  -147.205  1400.312   4662191840.352     8.085     4.425  3350.206      99   37947
     5.000  -151.975  1402.571   4819070571.497     8.100     4.430  3354.722      99   39148
     5.000  -156.745  1404.829   4976173290.818     8.121     4.439  3359.627      99   40649
     5.000  -161.514  1407.087   5133455136.960     8.135     4.446  3364.055      99   41849
     5.000  -166.284  1409.346   5290980434.985     8.148     4.450  3368.465      99   43050
     5.000  -171.054  1411.604   5448724552.653     8.170     4.461  3373.258      99   44550
     5.000  -175.823  1413.862   5606643031.642     8.178     4.462  3377.587      99   45751
     5.000  -180.593  1416.120   5764810915.884     8.198     4.470  3382.338      99   47252
     5.000  -185.363  1418.379   5923185261.859     8.211     4.477  3386.660      99   48452
     5.000  -190.133  1420.637   6081765459.362     8.225     4.482  3390.975      99   49653
     5.000  -194.902  1422.895   6240527093.981     8.242     4.490  3395.673      99   51154
     5.000  -199.672  1425.153   6399526570.262     8.255     4.495  3399.956      99   52354
     5.000  -204.442  1427.412   6558738058.370     8.269     4.501  3404.579      99   53855
     5.000  -209.211  1429.670   6718120495.921     8.280     4.505  3408.907      99   55056
     5.000  -213.981  1431.928   6877750924.436     8.300     4.514  3413.587      99   56556
     5.000  -218.751  1434.186   7037585865.273     8.308     4.516  3417.862      99   57757
     5.000  -228.290  1438.703   7357848835.954     8.338     4.529  3426.815      99   60458
     5.000  -237.830  1443.220   7678986713.894     8.362     4.539  3435.876      99   63160
     5.000  -247.369  1447.736   8000939709.436     8.390     4.551  3444.985      99   65861
     5.000  -256.909  1452.253   8323786901.786     8.416     4.562  3454.282      99   68562
     5.000  -266.448  1456.769   8647476334.279     8.438     4.569  3463.721      99   71264
     5.000  -275.987  1461.285   8972053285.640     8.464     4.581  3473.253      99   73965
     5.000  -285.527  1465.802   9297585524.045     8.487     4.592  3483.394      99   76666
     5.000  -290.297  1468.060   9460706043.319     8.495     4.595  3488.399      99   77867
     5.000  -295.066  1470.318   9624041130.440     8.510     4.601  3493.845      99   79368
     5.000  -299.836  1472.577   9787657547.743     8.520     4.606  3499.132      99   80568
     5.000  -304.606  1474.835   9951542158.587     8.532     4.610  3505.134      99   82069
     5.000  -314.145  1479.351  10280275371.011     8.525     4.630  3520.767      99   84770
     5.000  -323.685  1483.868  10610258753.367     8.550     4.636  3530.834      99   87472
     5.000  -333.224  1488.384  10941171758.347     8.582     4.648  3541.447      99   90473
     5.000  -342.763  1492.901  11273067263.169     8.605     4.655  3552.026      99   93174
     5.000  -352.303  1497.418  11605991881.183     8.633     4.663  3562.628      99   95875
     5.000  -361.842  1501.934  11939766549.052     8.657     4.672  3570.798      99   98577
     5.000  -371.382  1506.451  12274349245.722     8.686     4.685  3579.123      99  101578
     5.000  -380.921  1510.967  12609657924.539     8.707     4.695  3587.270      99  104279
     5.000  -390.461  1515.484  12945768744.525     8.731     4.705  3595.429      99  106981
     5.000  -400.000  1520.000  13282625329.579     8.759     4.719  3603.857      99  109982
    10.000     0.193    13.203     12868267.500     0.000     0.000  2750.000      00  109982
    10.000    -0.761    39.126     38604802.500     0.000     0.000  2750.000      00  109982
    10.000    -1.238    51.847     51473070.000     0.000     0.000  2750.000      00  109982
    10.000    -1.825    67.279     67308862.500     0.000     0.000  2750.000      00  109982
    10.000    -2.192    76.807     77209605.000     0.000     0.000  2750.000      00  109982
    10.000    -2.669    89.050     90077872.500     0.000     0.000  2750.000      00  109982
    10.000    -3.146   101.133    102946140.000     0.000     0.000  2750.000      00  109982
    10.000    -3.623   113.058    115814407.500     0.000     0.000  2750.000      00  109982
    10.000    -4.577   136.432    141550942.500     0.000     0.000  2750.000      00  109982
    10.000    -5.054   147.881    154419210.000     0.000     0.000  2750.000      00  109982
    10.000    -5.531   159.173    167287477.500     0.000     0.000  2750.000      00  109982
    10.000    -6.008   170.307    180155745.000     0.000     0.000  2750.000      00  109982
    10.000    -6.962   192.102    205892280.000     0.000     0.000  2750.000      00  109982
    10.000    -7.916   213.267    231628815.000     0.000     0.000  2750.000      00  109982
    10.000    -8.870   233.802    257365350.000     0.000     0.000  2750.000      00  109982
    10.000    -9.824   253.708    283101885.000     0.000     0.000  2750.000      00  109982
    10.000   -10.892   275.251    311913855.000     0.000     0.000  2750.000      00  109982
    10.000   -11.732   294.170    335398995.000     0.000     0.000  2850.000      00  109982
    10.000   -12.686   315.453    362071404.000     0.000     0.000  2850.000      00  109982
    10.000   -13.640   336.517    388743813.000     0.000     0.000  2850.000      00  109982
    10.000   -15.548   377.992    442088631.000     0.000     0.000  2850.000      00  109982
    10.000   -17.456   418.597    495433449.000     0.000     0.000  2850.000      00  109982
    10.000   -19.364   458.333    548778267.000     0.000     0.000  2850.000      00  109982
    10.000   -21.000   491.716    594518373.000     0.000     0.000  2850.000      00  109982
    10.000   -23.179   537.715    657577543.500     0.000     0.000  2950.000      00  109982
    10.000   -25.087   577.605    712794109.500     0.000     0.000  2950.000      00  109982
    10.000   -26.995   617.137    768010675.500     0.000     0.000  2950.000      00  109982
    10.000   -28.903   656.309    823227241.500     0.000     0.000  2950.000      00  109982
    10.000   -30.811   695.123    878443807.500     0.000     0.000  2950.000      00  109982
    10.000   -31.995   719.030    912708175.500     0.000     0.000  2950.000      00  109982
    10.000   -34.627   744.147    997926434.046     7.946     4.536  3299.997      96    8545
    10.000   -37.489   771.085   1090566815.517     7.941     4.528  3298.923      96    9150
    10.000   -40.351   797.845   1183191848.792     7.939     4.521  3298.541      96   10055
    10.000   -43.213   824.367   1275813481.561     7.949     4.518  3298.978      96   10961
    10.000   -46.075   850.477   1368546531.982     7.956     4.517  3306.777      96   11566
    10.000   -48.937   876.220   1461403816.053     7.965     4.515  3307.342      96   12471
    10.000   -51.799   901.660   1554266309.199     7.957     4.506  3307.462      96   13075
    10.000   -54.661   926.794   1647133036.261     7.963     4.502  3307.667      96   13980
    10.000   -57.523   951.632   1740000098.860     7.955     4.493  3307.453      96   14585
    10.000   -60.384   976.223   1832833469.393     7.958     4.488  3307.530      96   15490
    10.000   -63.246  1000.563   1925720670.951     7.959     4.482  3308.889      96   16095
    10.000   -66.108  1024.695   2018643288.609     7.968     4.481  3309.610      96   16999
    10.000   -70.878  1064.490   2173527354.232     7.958     4.465  3309.829      96   18207
    10.000   -75.648  1103.639   2328449396.778     7.962     4.458  3310.955      96   19714
    10.000   -80.418  1142.094   2483375596.903     7.948     4.439  3310.691      96   20922
    10.000   -85.188  1179.629   2638333172.591     7.951     4.431  3312.028      96   22129
    10.000   -89.958  1215.853   2793339518.474     7.946     4.417  3312.628      96   23336
    10.000   -94.728  1250.240   2948397663.212     7.945     4.405  3314.032      96   24843
    10.000   -99.498  1282.241   3103497343.142     7.938     4.393  3314.941      96   26049
    10.000  -105.676  1320.000   3304468924.797     7.935     4.379  3316.681      96   27556
    10.000  -109.037  1326.722   3413820316.839     7.985     4.402  3317.884      99   27426
    10.000  -113.807  1336.262   3569190273.688     8.001     4.406  3322.400      99   28929
    10.000  -118.577  1345.802   3724751307.135     8.012     4.410  3326.371      99   30131
    10.000  -123.347  1355.342   3880500310.764     8.022     4.410  3330.284      99   31334
    10.000  -128.117  1364.882   4036443834.690     8.039     4.414  3334.540      99   32837
    10.000  -132.887  1374.422   4192566214.919     8.047     4.413  3338.227      99   34040
    10.000  -137.657  1383.962   4348867765.326     8.061     4.419  3342.072      99   35242
    10.000  -142.426  1393.500   4505325438.120     8.075     4.421  3346.171      99   36745
    10.000  -147.196  1400.717   4661999150.673     8.083     4.424  3350.153      99   37947
    10.000  -151.966  1402.968   4818875355.247     8.099     4.430  3354.670      99   39148
    10.000  -156.736  1405.219   4975975616.847     8.120     4.438  3359.577      99   40649
    10.000  -161.506  1407.469   5133288047.172     8.135     4.446  3364.005      99   41849
    10.000  -166.276  1409.720   5290811010.326     8.147     4.449  3368.417      99   43050
    10.000  -171.046  1411.971   5448552629.135     8.167     4.458  3373.201      99   44551
    10.000  -175.816  1414.221   5606501858.646     8.181     4.465  3377.542      99   45751
    10.000  -180.585  1416.471   5764634446.896     8.198     4.470  3382.294      99   47252
    10.000  -185.355  1418.722   5923006945.523     8.208     4.476  3386.627      99   48453
    10.000  -190.125  1420.973   6081585217.173     8.225     4.483  3390.933      99   49653
    10.000  -194.895  1423.223   6240378163.285     8.242     4.489  3395.633      99   51154
    10.000  -199.665  1425.474   6399375765.591     8.252     4.493  3399.917      99   52355
    10.000  -204.435  1427.725   6558585422.073     8.272     4.502  3404.540      99   53855
    10.000  -209.205  1429.975   6717999497.433     8.280     4.505  3408.870      99   55056
    10.000  -213.975  1432.226   6877628242.359     8.300     4.514  3413.553      99   56556
    10.000  -218.745  1434.477   7037461560.450     8.308     4.516  3417.828      99   57757
    10.000  -228.284  1438.978   7357721397.857     8.338     4.529  3426.783      99   60458
    10.000  -237.824  1443.479   7678856317.081     8.362     4.538  3435.846      99   63160
    10.000  -247.364  1447.980   8000840316.571     8.390     4.551  3444.958      99   65861
    10.000  -256.904  1452.482   8323684980.748     8.415     4.562  3454.256      99   68562
    10.000  -266.443  1456.983   8647372082.120     8.438     4.569  3463.697      99   71264
    10.000  -275.983  1461.484   8971980853.425     8.463     4.581  3473.230      99   73965
    10.000  -285.523  1465.985   9297511130.399     8.487     4.592  3483.376      99   76666
    10.000  -290.293  1468.236   9460630767.779     8.495     4.595  3488.381      99   77867
    10.000  -295.063  1470.487   9623999305.046     8.510     4.601  3493.830      99   79368
    10.000  -299.833  1472.737   9787615014.249     8.520     4.606  3499.117      99   80568
    10.000  -304.602  1474.987   9951464857.781     8.532     4.610  3505.132      99   82069
    10.000  -314.142  1479.489  10280231628.441     8.525     4.630  3520.750      99   84770
    10.000  -323.682  1483.990  10610213726.437     8.550     4.636  3530.824      99   87472
    10.000  -333.222  1488.492  10941160650.287     8.582     4.648  3541.440      99   90473
    10.000  -342.761  1492.992  11273055482.102     8.605     4.655  3552.019      99   93174
    10.000  -352.301  1497.494  11605979296.664     8.633     4.663  3562.619      99   95875
    10.000  -361.841  1501.995  11939788277.976     8.657     4.672  3570.793      99   98577
    10.000  -371.381  1506.496  12274370560.018     8.686     4.685  3579.119      99  101578
    10.000  -380.920  1510.997  12609678960.957     8.707     4.694  3587.268      99  104279
    10.000  -390.460  1515.499  12945789647.386     8.731     4.705  3595.428      99  106981
    10.000  -400.000  1520.000  13282681558.501     8.759     4.719  3603.858      99  109982
    15.000     0.229    13.136     12868267.500     0.000     0.000  2750.000      00  109982
    15.000    -0.725    38.950     38604802.500     0.000     0.000  2750.000      00  109982
    15.000    -1.202    51.627     51473070.000     0.000     0.000  2750.000      00  109982
    15.000    -1.771    66.546     66823267.500     0.000     0.000  2750.000      00  109982
    15.000    -2.156    76.518     77209605.000     0.000     0.000  2750.000      00  109982
    15.000    -2.633    88.732     90077872.500     0.000     0.000  2750.000      00  109982
    15.000    -3.110   100.790    102946140.000     0.000     0.000  2750.000      00  109982
    15.000    -3.587   112.693    115814407.500     0.000     0.000  2750.000      00  109982
    15.000    -4.541   136.031    141550942.500     0.000     0.000  2750.000      00  109982
    15.000    -5.018   147.467    154419210.000     0.000     0.000  2750.000      00  109982
    15.000    -5.495   158.747    167287477.500     0.000     0.000  2750.000      00  109982
    15.000    -5.972   169.870    180155745.000     0.000     0.000  2750.000      00  109982
    15.000    -6.926   191.649    205892280.000     0.000     0.000  2750.000      00  109982
    15.000    -7.881   212.824    231655792.500     0.000     0.000  2750.000      00  109982
    15.000    -8.835   233.353    257392327.500     0.000     0.000  2750.000      00  109982
    15.000    -9.789   253.256    283128862.500     0.000     0.000  2750.000      00  109982
    15.000   -10.910   275.850    313370640.000     0.000     0.000  2750.000      00  109982
    15.000   -11.697   293.554    335373979.500     0.000     0.000  2850.000      00  109982
    15.000   -12.651   314.818    362046388.500     0.000     0.000  2850.000      00  109982
    15.000   -13.605   335.866    388718797.500     0.000     0.000  2850.000      00  109982
    15.000   -15.513   377.315    442063615.500     0.000     0.000  2850.000      00  109982
    15.000   -17.421   417.900    495408433.500     0.000     0.000  2850.000      00  109982
    15.000   -19.329   457.624    548753251.500     0.000     0.000  2850.000      00  109982
    15.000   -21.000   491.708    595471905.000     0.000     0.000  2850.000      00  109982
    15.000   -23.146   536.996    657576072.000     0.000     0.000  2950.000      00  109982
    15.000   -25.054   576.883    712792638.000     0.000     0.000  2950.000      00  109982
    15.000   -26.962   616.415    768009204.000     0.000     0.000  2950.000      00  109982
    15.000   -28.870   655.591    823225770.000     0.000     0.000  2950.000      00  109982
    15.000   -30.778   694.414    878442336.000     0.000     0.000  2950.000      00  109982
    15.000   -31.990   718.891    913517010.000     0.000     0.000  2950.000      00  109982
    15.000   -34.594   743.750    997829854.213     7.946     4.536  3300.046      96    8545
    15.000   -37.456   770.710   1090471558.999     7.941     4.528  3298.969      96    9150
    15.000   -40.319   797.510   1183130176.704     7.939     4.522  3298.583      96   10055
    15.000   -43.181   824.091   1275748240.729     7.951     4.519  3298.683      96   10960
    15.000   -46.043   850.276   1368477936.918     7.954     4.515  3306.808      96   11566
    15.000   -48.905   876.094   1461336015.522     7.965     4.515  3307.369      96   12471
    15.000   -51.767   901.631   1554198843.007     7.957     4.507  3307.461      96   13075
    15.000   -54.630   926.892   1647097777.599     7.963     4.502  3307.652      96   13980
    15.000   -57.492   951.882   1739964377.165     7.955     4.493  3307.436      96   14585
    15.000   -60.354   976.660   1832828890.867     7.958     4.488  3307.454      96   15490
    15.000   -63.216  1001.213   1925713546.040     7.958     4.482  3308.784      96   16095
    15.000   -66.078  1025.604   2018632658.351     7.967     4.480  3309.466      96   16999
    15.000   -70.849  1065.950   2173539886.472     7.958     4.464  3309.576      96   18207
    15.000   -75.619  1105.847   2328443059.292     7.957     4.454  3310.402      96   19715
    15.000   -80.389  1145.276   2483343356.835     7.950     4.441  3310.120      96   20922
    15.000   -85.160  1184.055   2638304196.195     7.945     4.426  3311.352      96   22130
